,tradeNum,total_return,winning_rate,max_drawdown,sharpe_ratio
38,331,-0.28665829378837915,0.5740181268882175,-0.5603335653231134,-0.2550540708600573
39,285,0.08722369047538478,0.5614035087719298,-0.42730636684028317,0.07877111076329252
40,185,0.5607638343487162,0.6,-0.1523303724584631,0.5573518614606148
41,376,-0.12852417883175868,0.550531914893617,-0.2934310916544731,-0.12013184950252977
42,306,-0.053587853359335684,0.5784313725490197,-0.252283405386406,-0.06744636217889564
43,337,-0.27459657057879383,0.5341246290801187,-0.46351112058530136,-0.24849357462847438
44,282,0.17246011150888194,0.574468085106383,-0.29757679192976483,0.19261652225578457
45,201,-0.6412432836921682,0.6069651741293532,-0.7725589199434362,-0.4002334026500243
46,82,-0.20118174843792622,0.6585365853658537,-0.7442578094300901,-0.18343570968110132
47,173,0.45648464601139777,0.6820809248554913,-0.2488315996196099,0.4219446406875586
48,154,0.37219533208815986,0.6363636363636364,-0.2946040223597353,0.3726393041601392
49,144,0.6441499178753415,0.7013888888888888,-0.3198175337922737,0.7833125986984916
50,130,0.7915131742735504,0.6923076923076923,-0.15177025085680512,0.9939084872866147
51,239,0.3633748774901769,0.5941422594142259,-0.3221651878299569,0.4556932803909628
52,158,0.4541687087308611,0.620253164556962,-0.15900179050656346,0.5679896951355675
